filter_num,layer,filter_num_by_layer,prune_score,class
0,0,0,0.19181689620018005,frog
1,0,1,0.12129530310630798,frog
2,0,2,0.24441581964492798,frog
3,0,3,0.034858718514442444,frog
4,0,4,0.05003630742430687,frog
5,0,5,0.3271653652191162,frog
6,0,6,0.03207192197442055,frog
7,0,7,0.001710407086648047,frog
8,0,8,0.0771576538681984,frog
9,0,9,0.0194255318492651,frog
10,0,10,0.06983247399330139,frog
11,0,11,0.03186947852373123,frog
12,0,12,0.10133448243141174,frog
13,0,13,0.13918176293373108,frog
14,0,14,0.07630382478237152,frog
15,0,15,0.1136394515633583,frog
16,0,16,0.3087056279182434,frog
17,0,17,0.000877258600667119,frog
18,0,18,0.31418371200561523,frog
19,0,19,0.06735111773014069,frog
20,0,20,0.12384386360645294,frog
21,0,21,0.05343596264719963,frog
22,0,22,0.02075560763478279,frog
23,0,23,0.09326223284006119,frog
24,0,24,0.0489068478345871,frog
25,0,25,0.05581051483750343,frog
26,0,26,0.08271775394678116,frog
27,0,27,0.025908958166837692,frog
28,0,28,0.028169017285108566,frog
29,0,29,0.10690207034349442,frog
30,0,30,0.0068301912397146225,frog
31,0,31,0.07237157970666885,frog
32,0,32,0.01562643051147461,frog
33,0,33,0.31316259503364563,frog
34,0,34,0.003908579703420401,frog
35,0,35,0.007580684032291174,frog
36,0,36,0.16374042630195618,frog
37,0,37,0.009133880957961082,frog
38,0,38,0.058553412556648254,frog
39,0,39,0.44167107343673706,frog
40,0,40,0.009535682387650013,frog
41,0,41,0.36508190631866455,frog
42,0,42,0.018014010041952133,frog
43,0,43,0.04860563948750496,frog
44,0,44,0.011234934441745281,frog
45,1,0,0.11690971255302429,frog
46,1,1,0.25055909156799316,frog
47,1,2,0.06698943674564362,frog
48,1,3,0.013090657070279121,frog
49,1,4,0.10020334273576736,frog
50,1,5,0.6982229948043823,frog
51,1,6,0.1683507114648819,frog
52,1,7,0.15901324152946472,frog
53,1,8,0.1706097573041916,frog
54,1,9,0.18866710364818573,frog
55,1,10,0.2695711553096771,frog
56,1,11,0.0400390625,frog
57,1,12,0.06257494539022446,frog
58,1,13,0.2226678729057312,frog
59,1,14,0.08664428442716599,frog
60,1,15,0.14974166452884674,frog
61,1,16,0.08230451494455338,frog
62,1,17,0.13047005236148834,frog
63,1,18,0.04095916822552681,frog
64,1,19,0.19071194529533386,frog
65,1,20,0.05009889975190163,frog
66,1,21,0.2773744761943817,frog
67,1,22,0.06338311731815338,frog
68,2,0,0.03624298796057701,frog
69,2,1,0.1692117154598236,frog
70,2,2,0.4136705696582794,frog
71,2,3,0.18592211604118347,frog
72,2,4,0.14660215377807617,frog
73,2,5,0.18066781759262085,frog
74,2,6,0.011821105144917965,frog
75,2,7,0.05805664137005806,frog
76,2,8,0.01780063472688198,frog
77,2,9,0.04376813396811485,frog
78,2,10,0.039888206869363785,frog
79,2,11,0.013820799998939037,frog
80,2,12,0.11117104440927505,frog
81,2,13,0.18650378286838531,frog
82,2,14,0.0854615643620491,frog
83,2,15,0.043206971138715744,frog
84,2,16,0.0957646444439888,frog
85,2,17,0.18510915338993073,frog
86,2,18,0.04854876548051834,frog
87,2,19,0.013946082442998886,frog
88,2,20,0.03807579353451729,frog
89,2,21,0.11391303688287735,frog
90,2,22,0.32029643654823303,frog
91,2,23,0.09779509156942368,frog
92,2,24,0.11944826692342758,frog
93,2,25,0.3153715431690216,frog
94,2,26,0.01260028500109911,frog
95,2,27,0.017667217180132866,frog
96,2,28,0.04264089837670326,frog
97,2,29,0.0007906104438006878,frog
98,2,30,0.04463481530547142,frog
99,2,31,0.0767899677157402,frog
100,2,32,0.12197195738554001,frog
101,2,33,0.25026366114616394,frog
102,2,34,0.17608889937400818,frog
103,2,35,0.06353841722011566,frog
104,2,36,0.1194240152835846,frog
105,2,37,0.01351629663258791,frog
106,2,38,0.13411198556423187,frog
107,2,39,0.19416169822216034,frog
108,2,40,0.06022267788648605,frog
109,2,41,0.0394924059510231,frog
110,2,42,0.19566956162452698,frog
111,2,43,0.09720876067876816,frog
112,2,44,0.14789912104606628,frog
113,2,45,0.16077636182308197,frog
114,2,46,0.10218573361635208,frog
115,2,47,0.16946342587471008,frog
116,2,48,0.1656220406293869,frog
117,3,0,0.19350406527519226,frog
118,3,1,0.12258964776992798,frog
119,3,2,0.04058152437210083,frog
120,3,3,0.13793762028217316,frog
121,3,4,0.10481283813714981,frog
