filter_num,layer,filter_num_by_layer,prune_score,class
0,0,0,0.03405233472585678,10
1,0,1,0.02029690518975258,10
2,0,2,0.02967572957277298,10
3,0,3,0.014992915093898773,10
4,0,4,0.007327262777835131,10
5,0,5,0.06214141100645065,10
6,0,6,0.0399167500436306,10
7,0,7,0.0467134527862072,10
8,0,8,0.016340771690011024,10
9,0,9,0.0005207282956689596,10
10,0,10,0.014694174751639366,10
11,0,11,0.04720474034547806,10
12,0,12,0.10869503021240234,10
13,0,13,0.0007047605467960238,10
14,0,14,0.029127035290002823,10
15,0,15,0.036249224096536636,10
16,0,16,0.004580873064696789,10
17,0,17,0.053374845534563065,10
18,0,18,0.03643636032938957,10
19,0,19,0.005266285035759211,10
20,0,20,0.013547939248383045,10
21,0,21,0.01880008541047573,10
22,0,22,0.04988160356879234,10
23,0,23,0.05066019669175148,10
24,0,24,0.004711381625384092,10
25,0,25,0.0008340937783941627,10
26,0,26,0.02417721599340439,10
27,0,27,0.05575588718056679,10
28,0,28,0.020830802619457245,10
29,0,29,0.0010231032501906157,10
30,0,30,0.0074751172214746475,10
31,0,31,0.02138589508831501,10
32,0,32,0.019481442868709564,10
33,0,33,0.1137707307934761,10
34,0,34,0.004462625831365585,10
35,0,35,0.002945422427728772,10
36,0,36,0.012119942344725132,10
37,0,37,0.25053566694259644,10
38,0,38,0.26543092727661133,10
39,0,39,0.02526605874300003,10
40,0,40,0.015434443950653076,10
41,0,41,0.003064594464376569,10
42,0,42,0.23700350522994995,10
43,0,43,0.03550373390316963,10
44,0,44,0.005637294612824917,10
45,0,45,0.02172677032649517,10
46,0,46,0.012323937378823757,10
47,0,47,0.8039001226425171,10
48,0,48,0.3263634145259857,10
49,0,49,0.0006327150040306151,10
50,1,0,0.006750782486051321,10
51,1,1,0.003733063116669655,10
52,1,2,0.037835050374269485,10
53,1,3,0.016919715330004692,10
54,1,4,0.009265109896659851,10
55,1,5,0.0400458462536335,10
56,1,6,0.030353182926774025,10
57,1,7,0.04080219939351082,10
58,1,8,0.04106072336435318,10
59,1,9,0.9925009608268738,10
60,1,10,0.05779815837740898,10
61,1,11,0.016882382333278656,10
62,1,12,0.00021437446412164718,10
63,1,13,0.04287717491388321,10
64,1,14,0.03300847113132477,10
65,1,15,0.02548356167972088,10
66,2,0,0.0017754860455170274,10
67,2,1,0.013252560049295425,10
68,2,2,0.01913541555404663,10
69,2,3,0.002445247955620289,10
70,2,4,0.0180688314139843,10
71,2,5,0.07662660628557205,10
72,2,6,0.058639537543058395,10
73,2,7,0.007638788316398859,10
74,2,8,0.006575240753591061,10
75,2,9,0.04457636922597885,10
76,2,10,0.004662944003939629,10
77,2,11,0.008798003196716309,10
78,2,12,0.00071116560138762,10
79,2,13,3.251479711252614e-06,10
80,2,14,0.005326814949512482,10
81,2,15,0.017599746584892273,10
82,2,16,0.009193258360028267,10
83,2,17,0.012646371498703957,10
84,2,18,0.05938379839062691,10
85,2,19,0.01573413424193859,10
86,2,20,0.08417122811079025,10
87,2,21,0.003116366919130087,10
88,2,22,0.012363635934889317,10
89,2,23,0.01229726430028677,10
90,2,24,0.003336086869239807,10
91,2,25,0.0175231471657753,10
92,2,26,0.001742735505104065,10
93,2,27,0.0026820809580385685,10
94,2,28,0.04784700646996498,10
95,2,29,0.005304868798702955,10
96,2,30,0.013398864306509495,10
97,2,31,0.0026735751889646053,10
98,2,32,0.004509931895881891,10
99,2,33,0.00561328511685133,10
100,2,34,0.018512122333049774,10
101,2,35,0.018493670970201492,10
102,2,36,0.005555310286581516,10
103,2,37,0.0238893311470747,10
104,2,38,0.007643272168934345,10
105,2,39,0.9831340909004211,10
106,2,40,0.0015205377712845802,10
107,2,41,0.006861996371299028,10
108,2,42,0.002836404135450721,10
109,2,43,0.0017854555044323206,10
110,2,44,0.030462615191936493,10
111,2,45,0.00014452685718424618,10
112,2,46,0.05955377593636513,10
113,2,47,0.02349133975803852,10
114,3,0,0.0009717870852909982,10
115,3,1,0.001639050431549549,10
116,3,2,0.0020246016792953014,10
117,3,3,0.21791155636310577,10
118,3,4,0.03369421884417534,10
119,3,5,7.915157766547054e-05,10
120,3,6,0.0008224219200201333,10
121,3,7,0.22455815970897675,10
122,3,8,0.0007851817645132542,10
123,3,9,0.21548277139663696,10
124,3,10,1.438587514712708e-05,10
125,3,11,2.9725415515713394e-05,10
126,3,12,0.00011098475806647912,10
127,3,13,0.09938940405845642,10
128,3,14,0.0004264067974872887,10
129,3,15,0.00011195072875125334,10
130,3,16,7.846362132113427e-05,10
131,3,17,4.024008831038373e-06,10
132,3,18,0.0028142074588686228,10
133,3,19,6.551321121150977e-07,10
134,3,20,0.16533119976520538,10
135,3,21,0.0009062066674232483,10
136,3,22,0.0004318662395235151,10
137,3,23,0.1743554323911667,10
138,3,24,0.4521828591823578,10
139,3,25,0.00038225349271669984,10
140,3,26,0.00047689490020275116,10
141,3,27,0.09682025760412216,10
142,3,28,0.0010903143556788564,10
143,3,29,0.0005410822341218591,10
144,3,30,5.6461642088834196e-05,10
145,3,31,0.05993380770087242,10
146,3,32,0.04812958836555481,10
147,3,33,0.00013000487524550408,10
148,3,34,0.23329579830169678,10
149,3,35,0.24882294237613678,10
150,3,36,0.00017911700706463307,10
151,3,37,0.001637422712519765,10
152,3,38,0.000750669976696372,10
153,3,39,1.545458144391887e-05,10
154,3,40,0.0,10
155,3,41,0.18256568908691406,10
156,3,42,0.23224657773971558,10
157,3,43,0.00015104329213500023,10
158,3,44,0.0104127312079072,10
159,3,45,0.06064716354012489,10
160,3,46,0.022267639636993408,10
161,3,47,0.25429609417915344,10
162,3,48,0.008580980822443962,10
163,3,49,0.051973871886730194,10
164,3,50,0.00010532173473620787,10
165,3,51,0.005504962522536516,10
166,3,52,0.0001000528282020241,10
167,3,53,0.12435783445835114,10
168,3,54,0.22926729917526245,10
169,3,55,0.007850166410207748,10
170,3,56,0.0010059336200356483,10
171,3,57,0.00020573471556417644,10
172,3,58,0.02372877486050129,10
173,3,59,0.1504150927066803,10
174,3,60,0.16538944840431213,10
175,3,61,2.2943151634535752e-05,10
176,3,62,0.00010244591976515949,10
177,3,63,0.4041041433811188,10
178,3,64,0.05815112590789795,10
179,3,65,0.0803462564945221,10
0,0,0,0.03183336555957794,5
1,0,1,0.015608757734298706,5
2,0,2,0.03013206273317337,5
3,0,3,0.01992594450712204,5
4,0,4,0.010063670575618744,5
5,0,5,0.0684783086180687,5
6,0,6,0.03865325078368187,5
7,0,7,0.045133911073207855,5
8,0,8,0.014554926194250584,5
9,0,9,0.01771436259150505,5
10,0,10,0.012511953711509705,5
11,0,11,0.04933658987283707,5
12,0,12,0.10412229597568512,5
13,0,13,0.001387584488838911,5
14,0,14,0.0246701929718256,5
15,0,15,0.029011301696300507,5
16,0,16,0.004356434568762779,5
17,0,17,0.05618933588266373,5
18,0,18,0.007945295423269272,5
19,0,19,0.00896792858839035,5
20,0,20,0.020109372213482857,5
21,0,21,0.02719418704509735,5
22,0,22,0.047002289444208145,5
23,0,23,0.04826362803578377,5
24,0,24,0.004338050726801157,5
25,0,25,0.002433201065286994,5
26,0,26,0.02410985715687275,5
27,0,27,0.06709633767604828,5
28,0,28,0.021624121814966202,5
29,0,29,0.0009192872093990445,5
30,0,30,0.022576771676540375,5
31,0,31,0.0028783807065337896,5
32,0,32,0.02357187122106552,5
33,0,33,0.0983956977725029,5
34,0,34,0.0005103100556880236,5
35,0,35,0.014031894505023956,5
36,0,36,0.02610614523291588,5
37,0,37,0.2570633292198181,5
38,0,38,0.26690927147865295,5
39,0,39,0.019714051857590675,5
40,0,40,0.01493892166763544,5
41,0,41,0.011582345701754093,5
42,0,42,0.2439650297164917,5
43,0,43,0.006852727849036455,5
44,0,44,0.004106144420802593,5
45,0,45,0.025226855650544167,5
46,0,46,0.019412491470575333,5
47,0,47,0.7963376045227051,5
48,0,48,0.3380787670612335,5
49,0,49,0.019462445750832558,5
50,1,0,0.02439715526998043,5
51,1,1,0.005792583804577589,5
52,1,2,0.053472597151994705,5
53,1,3,0.021559031680226326,5
54,1,4,0.009189064614474773,5
55,1,5,0.042024582624435425,5
56,1,6,0.04214569553732872,5
57,1,7,0.046913258731365204,5
58,1,8,0.04648897424340248,5
59,1,9,0.9903835654258728,5
60,1,10,0.0637427568435669,5
61,1,11,0.015415611676871777,5
62,1,12,0.013218712992966175,5
63,1,13,0.03897547721862793,5
64,1,14,0.024840911850333214,5
65,1,15,0.02422603778541088,5
66,2,0,0.0027733752503991127,5
67,2,1,0.023955339565873146,5
68,2,2,0.009076864458620548,5
69,2,3,0.0015088928630575538,5
70,2,4,0.015499074012041092,5
71,2,5,0.06976081430912018,5
72,2,6,0.05777589604258537,5
73,2,7,0.010794872418045998,5
74,2,8,0.001911398023366928,5
75,2,9,0.046204596757888794,5
76,2,10,0.008395401760935783,5
77,2,11,0.012925316579639912,5
78,2,12,0.005892192013561726,5
79,2,13,0.0003302148834336549,5
80,2,14,0.007309764623641968,5
81,2,15,0.013947205618023872,5
82,2,16,0.0054252478294074535,5
83,2,17,0.012082907371222973,5
84,2,18,0.0640510693192482,5
85,2,19,0.009849590249359608,5
86,2,20,0.09907858073711395,5
87,2,21,0.010357629507780075,5
88,2,22,0.007380919065326452,5
89,2,23,0.057030290365219116,5
90,2,24,0.018824901431798935,5
91,2,25,0.016443351283669472,5
92,2,26,0.007519192062318325,5
93,2,27,0.003434673650190234,5
94,2,28,0.027744906023144722,5
95,2,29,0.0033958014100790024,5
96,2,30,0.015603561885654926,5
97,2,31,0.0035066462587565184,5
98,2,32,0.0009625001111999154,5
99,2,33,0.001743312575854361,5
100,2,34,0.014363057911396027,5
101,2,35,0.029449323192238808,5
102,2,36,0.005442245397716761,5
103,2,37,0.03204052895307541,5
104,2,38,0.007364735938608646,5
105,2,39,0.9806264638900757,5
106,2,40,0.0008956965757533908,5
107,2,41,0.005261953920125961,5
108,2,42,0.009352021850645542,5
109,2,43,0.00334088783711195,5
110,2,44,0.03418361395597458,5
111,2,45,0.00014014491171110421,5
112,2,46,0.05588827282190323,5
113,2,47,0.02328830398619175,5
114,3,0,0.0015350289177149534,5
115,3,1,0.0014847391285002232,5
116,3,2,0.0009868524502962828,5
117,3,3,0.20388512313365936,5
118,3,4,0.04465630650520325,5
119,3,5,0.0032628048211336136,5
120,3,6,2.0370758647914045e-05,5
121,3,7,0.2406463921070099,5
122,3,8,0.0024772435426712036,5
123,3,9,0.22922013700008392,5
